,CALL,FIELD_VISIT,NO_TOUCH_IN_7D / UNATTRIBUTED,SMS,WHATSAPP
2026-01,40,58,2083,90,116
2026-02,32,47,1819,100,133
2026-03,45,55,1947,105,147
2026-04,40,58,1833,77,111
2026-05,33,47,1762,98,119
2026-06,44,41,1700,82,95
2026-07,35,58,1631,90,95
